Artist,Words
Ed Sheeran,1
88rising,1
Lil Uzi Vert,1
Bruno Mars,1
Sahlene Williams,1
Grimes,1
Juice WRLD,2
Shuggie Otis,1
XLD Library,1
BTS,2
JAY-Z,5
Future,1
Gov't Mule,1
Quiet Riot,2
Julia Michaels,1
System Of A Down,1
Janelle Monáe,1
Radiohead,1
Tiny Meat Gang,1
Old Dominion,1
Andy Williams,1
Britney Spears,1
Fall Out Boy,1
Colt Ford,1
Hozier,1
The Doobie Brothers,1
Tame Impala,1
Spencer Crandall,1
Drake,5
Wu-Tang Clan,1
Raekwon,1
Big Data,2
Jack Stauber,2
Xscape,1
The War On Drugs,1
Linkin Park,1
Theory of a Deadman,1
Judas Priest,1
Ab-Soul,1
Lynyrd Skynyrd,1
Iron & Wine,1
Dan Salvato,1
Random Encounters,1
Chance the Rapper,2
Ariana Grande,2
Poppy,1
Nick Lutsko,1
YoungBoy Never Broke Again,2
MEDUZA,1
Operation Ivy,1
Van Halen,1
Kanye West,2
J. Cole,1
Prehistory Of Maine,1
Cageless Birds,1
Chuuwee,1
vensterbank,1
Internet Money,1
Post Malone,1
Rex Orange County,1
Willie Colón,1
The Script,1
Less Than Jake,1
Sample Rain Library,1
The Rain Library,1
John Ocean,1
The Outdoor Library,1
Jacquees,1
Santana,1
Snow Tha Product,1
Don Toliver,1
Sean Paul,1
Mobb Deep,1
Rich Homie Quan,2
Ludacris,1
Madison Beer,1
Eddie Vedder,1
Loving,1
Soulja Boy,1
iann dior,2
Luis Miguel,1
Rey Ruiz,1
Marshmello,1
Zedd,1
Demun Jones,2
John Lennon,1
Better Oblivion Community Center,1
DMX,1
Black Star,1
Men Without Hats,1
GASHI,1
Quality Control,2
Arrested Development,1
Del The Funky Homosapien,1
Young Thug,1
Rico Nasty,2
Zion & Lennox,1
Big Pun,1
Sara Bareilles,1
Freddie Dredd,1
Lana Del Rey,1
The Buggles,1
Barenaked Ladies,1
Lil Baby,1
GOT7,1
Blake Shelton,1
John Denver,1
Alpha Brain Waves,1
Lito Warrior,1
Kelly Clarkson,1
Miley Cyrus,1
CHIC,2
Southside Slugger,1
Corb Lund,1
Jordan Mackampa,2
Boards of Canada,1
Paroidea,1
Depeche Mode,1
Megadeth,2
Labrinth,1
Tim McGraw,1
T.I.,1
Ombre2Choc Nation,1
Metal Tarsals Bigfoot Pussy,1
Typ Ill,1
Swing,1
James Newton Howard,1
Rod Wave,1
Aviators,1
Mariah Carey,1
The Polish Ambassador,1
Will Keating,1
Daniel Parker,1
M4RTIN SU4REZ,1
Painful Defloration,1
Kalidia,1
Jack Johnson,1
I Dreamt the Sea,1
Alex & Sierra,1
Sufjan Stevens,1
